0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-0.0035500894,0.0025602311,0.03794186,-0.029918171,-0.04351552,0.034181852,0.038316645,-0.01646259,-0.043264866,0.040820166,-0.03883291,0.020113908,-0.037247725,0.012302413,0.036168825,-0.018239975,0.040615436,0.03205626,0.043112196,-0.035421792,0.015092521,0.027275223,-0.020594472,0.027664104,-0.02885455,0.006332506,0.021126896,0.019181073,-0.031171557,0.015813801,0.05967446,0.04093933
-0.0010869819,-0.05422305,0.06293772,-0.023326134,-0.04151019,0.027947307,0.043034498,-0.02966079,-0.018691909,0.054603703,-0.041582815,0.019143786,-0.057852708,-0.078225434,0.058438394,-0.045754295,0.041132677,0.05709377,0.06696812,-0.032541163,0.015678093,0.000730772,-0.01155525,0.032522775,-0.03484347,0.018377008,0.006401997,0.047806565,0.00090837566,-0.0072132885,0.05447292,0.022103578
-0.100659885,-0.2025806,0.26376253,-0.02292445,-0.119958386,0.08071753,0.1400027,0.03885025,-0.1667761,0.03825154,0.013548163,-0.03753397,-0.043611597,0.014036767,0.027478801,-0.24989988,-0.044090085,0.37322605,0.20943826,-0.019766903,-0.0049814866,0.11135884,-0.02886877,-0.00975697,0.06589489,-0.015173528,0.022574974,-0.007477912,-0.14253671,-0.05103479,0.092274696,0.021128325
-0.057455253,-0.23396893,0.16285807,-0.019456701,-0.04940079,0.00043176307,0.022773953,0.0074588056,-0.032715335,0.11658229,-0.010987645,-0.015984217,-0.06568196,0.017147122,0.045536123,-0.1995744,0.07646251,0.15088037,0.062879786,0.031087406,-0.028306985,0.039994683,0.036627654,-0.025448995,0.013459075,0.072351255,-0.02985324,0.015987013,0.033260692,-0.009951485,0.053890157,-0.028561583
-0.03359821,-0.09893028,0.0716148,-0.005484269,-0.023174308,-0.0024393327,0.023881683,0.03859027,-0.034116685,0.041963108,-0.010715594,-0.022561427,-0.053020723,0.02635027,0.059156656,-0.055386484,0.0540035,0.21725017,0.050439376,0.033645265,-0.035235506,0.03004144,0.030378927,-0.035452474,0.034327105,0.12856776,-0.04383847,0.00021174492,0.09572767,-0.02755357,0.030538727,-0.00778727
-0.06338803,-0.20961231,0.14640339,0.0097930385,-0.019715877,-0.05098111,0.005580468,0.028580721,-0.01905211,0.05080972,-0.014937296,-0.033327173,-0.037945904,-0.0019234373,0.03725283,-0.14644216,0.039144382,0.10823893,0.08402758,0.029875241,-0.03509951,0.005248139,0.03646948,-0.026395228,0.03801466,0.05197731,-0.059490524,0.028357629,0.05961532,-0.030577306,0.046615876,-0.029114174
-0.12502454,-0.21745537,0.23140521,-0.00860913,-0.032838047,0.023077667,0.0209773,-0.050670013,-0.014432484,0.11078984,0.0065038055,0.046486065,-0.015568406,-0.061279103,0.21598566,-0.06653259,0.08620295,0.11558643,0.35109282,-0.03967826,-0.011931708,0.004176264,-0.026609486,0.05594412,-0.030711675,-0.021612281,-0.066328466,-0.0014794619,-0.008929519,-0.025722675,-0.010125931,0.015920872
-0.09727814,-0.27702197,0.2609902,-0.009163314,-0.068020076,0.03465124,0.019830188,0.023414513,-0.017380605,0.28052405,-0.04856984,-0.010205297,-0.10239848,-0.008113535,0.10962419,-0.33039698,0.09008315,0.15318714,0.15783885,-0.0019259462,-0.024614891,0.03460406,0.027983863,-0.026745545,0.017309617,0.2083546,-0.15619674,0.08095789,0.020219909,-0.028797252,0.047784727,-0.014202997
-0.0968366,-0.6490907,-0.48114058,-0.19362932,0.030653937,-0.041468076,0.20290838,0.10069288,-0.036059454,-0.0854809,0.041789707,-0.07709192,-0.26874074,0.046337727,0.16315271,-0.43859756,0.00018814935,-0.0136108305,0.17016345,-0.0884841,-0.12167242,0.03277501,-0.004743234,-0.15824124,-0.0881657,0.21546826,-0.22966395,0.46095294,0.044694405,0.020608552,0.012977987,-0.04822495
-0.016966019,-0.07377171,-0.0038734344,-0.017515821,-0.0121069485,0.020634186,0.019666567,0.006787812,-0.04189179,-0.009836726,-0.046898484,-0.022790318,0.00906241,0.029622123,0.025393665,-0.016498372,-0.075584374,-0.0007449275,0.18211804,-0.07300817,-0.02781312,0.03947679,-0.015365996,-0.023087792,0.03539014,-0.033059712,0.025372753,-0.031034818,-0.029141773,-0.0059613176,-0.023233706,0.02958434
